trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2254,False,"{'a': 0.9, 'e': 0.10497846973427834}",20,0,-9.128000916554742,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2255,False,"{'a': 0.9, 'e': 0.1048735437362869}",25,18,12.339636157753313,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2256,False,"{'a': 0.9, 'e': 0.10476872261184789}",30,21,16.061886539341963,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2257,False,"{'a': 0.9, 'e': 0.10466400625614027}",20,12,-6.719976724094714,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
2258,False,"{'a': 0.9, 'e': 0.10455939456444763}",20,11,-26.09233540885838,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
2259,False,"{'a': 0.9, 'e': 0.10445488743215826}",20,15,8.949559845864417,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2260,False,"{'a': 0.9, 'e': 0.104350484754765}",30,0,36.8356055793575,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
2261,False,"{'a': 0.9, 'e': 0.10424618642786522}",20,16,8.917016582903397,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2262,False,"{'a': 0.9, 'e': 0.10414199234716055}",25,10,27.17415684089581,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2263,False,"{'a': 0.9, 'e': 0.10403790240845692}",20,14,11.143027586886987,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2264,False,"{'a': 0.9, 'e': 0.10393391650766431}",25,19,11.500319626812647,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2265,False,"{'a': 0.9, 'e': 0.10383003454079692}",20,6,25.928277689976067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2266,False,"{'a': 0.9, 'e': 0.10372625640397273}",25,19,12.476763033440871,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2267,False,"{'a': 0.9, 'e': 0.10362258199341358}",20,16,7.467542460905152,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2268,False,"{'a': 0.9, 'e': 0.10351901120544502}",30,21,13.87109140953052,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2269,False,"{'a': 0.9, 'e': 0.10341554393649634}",25,18,11.700368897694032,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2270,False,"{'a': 0.9, 'e': 0.1033121800831002}",20,12,16.960241274931374,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2271,False,"{'a': 0.9, 'e': 0.10320891954189276}",30,15,20.355020858087464,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2272,False,"{'a': 0.9, 'e': 0.10310576220961341}",25,18,-30.489826444053634,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
2273,False,"{'a': 0.9, 'e': 0.10300270798310492}",30,19,15.660480825151506,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
2274,False,"{'a': 0.9, 'e': 0.102899756759313}",25,0,41.111272491935495,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2275,False,"{'a': 0.9, 'e': 0.1027969084352864}",30,18,20.969961635127454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2276,False,"{'a': 0.9, 'e': 0.10269416290817676}",20,3,29.62524735638927,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2277,False,"{'a': 0.9, 'e': 0.10259152007523863}",20,8,-20.14741927595227,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2278,False,"{'a': 0.9, 'e': 0.10248897983382912}",25,13,20.953108378901366,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2279,False,"{'a': 0.9, 'e': 0.102386542081408}",20,5,15.647023756549771,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2280,False,"{'a': 0.9, 'e': 0.10228420671553744}",20,3,12.46215258558112,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2281,False,"{'a': 0.9, 'e': 0.10218197363388216}",25,16,16.744102985838158,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2282,False,"{'a': 0.9, 'e': 0.10207984273420903}",25,10,9.726006390724226,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
2283,False,"{'a': 0.9, 'e': 0.10197781391438715}",20,16,8.659270756311507,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2284,False,"{'a': 0.9, 'e': 0.10187588707238764}",25,17,2.6006797921158946,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2285,False,"{'a': 0.9, 'e': 0.10177406210628372}",20,12,12.440416520306242,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
